job_role,experience_years,skill_level,education_level,industry,region,recommended_assessment
UX Designer,5,High,Bachelors,Finance,North America,Personality
Product Manager,3,High,Masters,Customer Service,Australia,Cognitive Ability
Sales Manager,7,Low,High School,Design,North America,Behavioral
Data Analyst,3,Medium,Masters,Marketing,Australia,Cognitive Ability
Customer Support,1,Medium,Masters,Marketing,Asia,Personality
Customer Support,8,Low,Bachelors,Design,Asia,Personality
UX Designer,10,Medium,Masters,Marketing,Australia,Personality
HR Executive,2,Medium,Bachelors,Design,North America,Personality
Sales Manager,1,High,High School,Customer Service,North America,Behavioral
Sales Manager,9,High,Masters,HR,Asia,Behavioral
Business Analyst,5,Low,High School,Design,Asia,Cognitive Ability
Finance Associate,1,Medium,Bachelors,Finance,Asia,Behavioral
Business Analyst,8,Low,High School,Customer Service,Asia,Cognitive Ability
Sales Manager,4,High,Bachelors,Marketing,Australia,Behavioral
Marketing Manager,5,Medium,High School,Customer Service,Asia,Behavioral
Business Analyst,7,High,Masters,Finance,Asia,Cognitive Ability
Data Analyst,9,Low,Bachelors,HR,North America,Cognitive Ability
Marketing Manager,8,Low,Masters,Technology,North America,Behavioral
Product Manager,6,Medium,Bachelors,Marketing,Australia,Cognitive Ability
Sales Manager,10,Medium,Bachelors,Design,Europe,Behavioral
Sales Manager,8,High,Bachelors,Technology,Asia,Behavioral
Customer Support,10,High,Bachelors,HR,Asia,Personality
Business Analyst,7,Medium,High School,Marketing,Australia,Cognitive Ability
HR Executive,5,Medium,Masters,Marketing,Asia,Personality
HR Executive,1,Medium,High School,Marketing,Australia,Personality
Sales Manager,4,Low,Bachelors,Design,Asia,Behavioral
Finance Associate,7,High,Bachelors,HR,Australia,Behavioral
Customer Support,5,Medium,Masters,HR,Asia,Personality
Sales Manager,5,Medium,Bachelors,Marketing,North America,Behavioral
Business Analyst,4,Medium,High School,Customer Service,North America,Cognitive Ability
Data Analyst,8,High,Masters,Customer Service,Australia,Cognitive Ability
HR Executive,4,High,Bachelors,HR,Europe,Personality
Business Analyst,4,Low,High School,Customer Service,North America,Cognitive Ability
Product Manager,7,High,Masters,Customer Service,Asia,Cognitive Ability
Marketing Manager,10,Medium,High School,Finance,Europe,Behavioral
HR Executive,3,High,High School,Marketing,Australia,Personality
Product Manager,3,High,High School,Marketing,Asia,Cognitive Ability
Software Engineer,6,Medium,Masters,Design,Europe,Cognitive Ability
Product Manager,10,High,Masters,Marketing,North America,Cognitive Ability
Marketing Manager,4,Medium,Bachelors,Design,Australia,Behavioral
Product Manager,5,Low,Bachelors,Finance,Asia,Cognitive Ability
Marketing Manager,2,High,Bachelors,Marketing,North America,Behavioral
Sales Manager,2,High,Bachelors,Marketing,Europe,Behavioral
HR Executive,1,Medium,Masters,Finance,Asia,Personality
HR Executive,1,Low,Masters,Technology,Australia,Personality
UX Designer,3,Low,Bachelors,Design,North America,Personality
Finance Associate,10,Medium,High School,Technology,Australia,Behavioral
Business Analyst,10,Medium,Bachelors,Design,North America,Cognitive Ability
HR Executive,1,High,High School,HR,Asia,Personality
Product Manager,1,High,Bachelors,Marketing,Europe,Cognitive Ability
UX Designer,6,Medium,Bachelors,Technology,North America,Personality
Business Analyst,6,Low,High School,Finance,Asia,Cognitive Ability
Data Analyst,7,Low,Bachelors,Design,Asia,Cognitive Ability
Product Manager,7,High,Bachelors,Marketing,Australia,Cognitive Ability
Marketing Manager,9,Low,Bachelors,Design,Australia,Behavioral
Business Analyst,9,Medium,Bachelors,Design,Asia,Cognitive Ability
Marketing Manager,2,Medium,High School,Design,Australia,Behavioral
Marketing Manager,5,High,Bachelors,Technology,North America,Behavioral
UX Designer,5,Low,Bachelors,Finance,Australia,Personality
Sales Manager,1,Low,High School,HR,Asia,Behavioral
UX Designer,5,High,Masters,Marketing,Australia,Personality
Marketing Manager,4,Low,Masters,Design,Asia,Behavioral
Product Manager,7,Low,Bachelors,Marketing,Australia,Cognitive Ability
Product Manager,3,Medium,Bachelors,Customer Service,Europe,Cognitive Ability
Marketing Manager,8,Low,High School,Customer Service,Australia,Behavioral
